pattern_id,timestamp,node_id,context,current_load,peak_load,avg_load,duration_hours,node_type,pattern_type,priority_tier,weather_condition
factory_003_pattern_0013,1773129459.5350642,factory_003,Emergency or surge demand pattern for factory during afternoon period,427.97,502.88,373.35,3.71,factory,emergency_surge,2,mild
factory_003_pattern_0014,1773152506.3699136,factory_003,Reduced load during maintenance for factory during evening peak,59.23,87.12,52.57,3.22,factory,maintenance_mode,2,hot
factory_003_pattern_0015,1773167433.1965122,factory_003,Optimized high-efficiency operation for factory during night hours,262.12,304.94,238.57,12.09,factory,peak_efficiency,2,hot
factory_003_pattern_0016,1773213927.0124633,factory_003,Optimized high-efficiency operation for factory during afternoon period,277.03,317.74,267.73,15.13,factory,peak_efficiency,2,cloudy
residential_001_pattern_0000,1772641749.5102696,residential_001,Normal operational pattern for residential during evening peak,102.07,122.23,92.91,10.68,residential,normal_operation,3,cloudy
residential_001_pattern_0001,1772693605.0985913,residential_001,Normal operational pattern for residential during afternoon period,98.09,118.74,93.97,11.03,residential,normal_operation,3,cloudy
residential_001_pattern_0002,1772746901.2245,residential_001,Normal operational pattern for residential during night hours,78.18,95.34,71.72,10.56,residential,normal_operation,3,stormy
residential_001_pattern_0003,1772792902.5176954,residential_001,Normal operational pattern for residential during afternoon period,80.32,106.08,72.98,8.31,residential,normal_operation,3,cloudy
residential_001_pattern_0004,1772828668.032946,residential_001,Normal operational pattern for residential during night hours,88.08,105.12,84.13,9.58,residential,normal_operation,3,clear
residential_001_pattern_0005,1772874339.2725713,residential_001,Reduced load during maintenance for residential during afternoon period,18.48,25.23,17.82,6.87,residential,maintenance_mode,3,stormy
residential_001_pattern_0006,1772907106.845852,residential_001,Normal operational pattern for residential during night hours,88.71,128.44,86.48,8.02,residential,normal_operation,3,cloudy
residential_001_pattern_0007,1772944399.8146696,residential_001,Normal operational pattern for residential during morning hours,82.54,112.41,68.58,9.78,residential,normal_operation,3,cloudy
residential_001_pattern_0008,1772993618.162649,residential_001,Normal operational pattern for residential during night hours,90.75,130.75,88.07,9.54,residential,normal_operation,3,mild
residential_001_pattern_0009,1773034556.173497,residential_001,Normal operational pattern for residential during morning hours,94.51,136.93,76.28,9.75,residential,normal_operation,3,clear
residential_001_pattern_0010,1773079407.8641558,residential_001,Optimized high-efficiency operation for residential during night hours,113.36,144.38,92.92,15.97,residential,peak_efficiency,3,hot
residential_001_pattern_0011,1773149709.695713,residential_001,Normal operational pattern for residential during evening peak,99.44,111.21,95.38,9.55,residential,normal_operation,3,clear
residential_001_pattern_0012,1773190619.9269328,residential_001,Normal operational pattern for residential during morning hours,87.88,124.53,73.29,8.25,residential,normal_operation,3,clear
residential_001_pattern_0013,1773233090.0958385,residential_001,Emergency or surge demand pattern for residential during evening peak,206.59,239.07,184.32,2.2,residential,emergency_surge,3,clear
residential_001_pattern_0014,1773246042.1486146,residential_001,Normal operational pattern for residential during evening peak,99.36,136.23,82.63,10.44,residential,normal_operation,3,cloudy
residential_002_pattern_0000,1772641749.5102696,residential_002,Emergency or surge demand pattern for residential during evening peak,159.49,229.36,133.94,3.12,residential,emergency_surge,3,cloudy
residential_002_pattern_0001,1772660875.4927313,residential_002,Normal operational pattern for residential during night hours,93.86,140.51,80.63,8.58,residential,normal_operation,3,stormy
residential_002_pattern_0002,1772701840.5619516,residential_002,Normal operational pattern for residential during afternoon period,97.9,136.86,79.28,8.53,residential,normal_operation,3,hot
residential_002_pattern_0003,1772740598.0814502,residential_002,Optimized high-efficiency operation for residential during night hours,122.08,163.94,106.27,8.86,residential,peak_efficiency,3,hot
residential_002_pattern_0004,1772782124.2995582,residential_002,Emergency or surge demand pattern for residential during afternoon period,196.77,282.43,182.14,4.6,residential,emergency_surge,3,mild
residential_002_pattern_0005,1772808644.9020104,residential_002,Normal operational pattern for residential during evening peak,94.03,130.98,76.92,7.53,residential,normal_operation,3,clear
residential_002_pattern_0006,1772846958.8687854,residential_002,Normal operational pattern for residential during morning hours,92.57,137.79,83.88,5.06,residential,normal_operation,3,mild
residential_002_pattern_0007,1772877429.0259671,residential_002,Normal operational pattern for residential during afternoon period,90.47,128.7,85.88,10.6,residential,normal_operation,3,cloudy
residential_002_pattern_0008,1772918831.2308822,residential_002,Optimized high-efficiency operation for residential during night hours,126.67,182.91,119.68,7.41,residential,peak_efficiency,3,stormy
residential_002_pattern_0009,1772959486.0822382,residential_002,Reduced load during maintenance for residential during afternoon period,30.73,33.97,27.88,4.19,residential,maintenance_mode,3,cloudy
residential_002_pattern_0010,1772984864.460917,residential_002,Emergency or surge demand pattern for residential during evening peak,211.64,312.41,173.9,3.92,residential,emergency_surge,3,clear
residential_002_pattern_0011,1773001101.8531523,residential_002,Optimized high-efficiency operation for residential during night hours,125.27,148.88,101.8,11.61,residential,peak_efficiency,3,mild
residential_002_pattern_0012,1773056170.8031576,residential_002,Normal operational pattern for residential during evening peak,78.0,115.32,67.15,7.27,residential,normal_operation,3,cloudy
residential_002_pattern_0013,1773085354.342987,residential_002,Optimized high-efficiency operation for residential during night hours,112.65,154.12,106.86,7.36,residential,peak_efficiency,3,mild
residential_002_pattern_0014,1773118919.2458334,residential_002,Reduced load during maintenance for residential during morning hours,20.46,23.31,18.37,2.93,residential,maintenance_mode,3,cloudy
residential_002_pattern_0015,1773143246.1117454,residential_002,Normal operational pattern for residential during evening peak,89.07,131.84,86.49,6.96,residential,normal_operation,3,clear
residential_002_pattern_0016,1773178756.945902,residential_002,Normal operational pattern for residential during night hours,85.98,108.27,72.05,11.82,residential,normal_operation,3,clear
residential_002_pattern_0017,1773233804.028925,residential_002,Normal operational pattern for residential during evening peak,96.3,128.93,77.45,9.3,residential,normal_operation,3,mild
residential_003_pattern_0000,1772641749.5102696,residential_003,Normal operational pattern for residential during evening peak,65.05,76.95,54.85,4.55,residential,normal_operation,3,mild
residential_003_pattern_0001,1772664065.3330443,residential_003,Normal operational pattern for residential during night hours,47.12,68.01,39.06,11.2,residential,normal_operation,3,clear
residential_003_pattern_0002,1772709358.869749,residential_003,Normal operational pattern for residential during afternoon period,47.66,52.71,45.66,9.29,residential,normal_operation,3,clear
residential_003_pattern_0003,1772748676.8502767,residential_003,Normal operational pattern for residential during night hours,64.5,84.52,61.22,4.42,residential,normal_operation,3,cloudy
residential_003_pattern_0004,1772776188.9566865,residential_003,Normal operational pattern for residential during morning hours,58.9,87.07,47.63,4.87,residential,normal_operation,3,mild
residential_003_pattern_0005,1772806453.6716125,residential_003,Normal operational pattern for residential during evening peak,69.73,78.4,62.47,7.66,residential,normal_operation,3,cloudy
residential_003_pattern_0006,1772844490.1246994,residential_003,Normal operational pattern for residential during morning hours,48.78,55.24,44.96,11.28,residential,normal_operation,3,clear
residential_003_pattern_0007,1772890354.7101722,residential_003,Emergency or surge demand pattern for residential during evening peak,107.35,160.79,97.27,3.74,residential,emergency_surge,3,cloudy
residential_003_pattern_0008,1772913253.5035584,residential_003,Normal operational pattern for residential during night hours,67.11,91.3,64.01,9.61,residential,normal_operation,3,hot
residential_003_pattern_0009,1772952374.0414484,residential_003,Normal operational pattern for residential during afternoon period,55.03,70.51,48.6,5.83,residential,normal_operation,3,clear
residential_003_pattern_0010,1772980531.8828688,residential_003,Emergency or surge demand pattern for residential during evening peak,97.2,142.8,79.06,2.87,residential,emergency_surge,3,mild
residential_003_pattern_0011,1772993844.000572,residential_003,Normal operational pattern for residential during night hours,66.15,87.49,60.68,9.91,residential,normal_operation,3,hot
residential_003_pattern_0012,1773035474.864694,residential_003,Normal operational pattern for residential during morning hours,62.7,87.79,61.05,6.83,residential,normal_operation,3,hot
residential_003_pattern_0013,1773074060.3120666,residential_003,Emergency or surge demand pattern for residential during night hours,122.21,144.83,113.82,2.76,residential,emergency_surge,3,clear
residential_003_pattern_0014,1773087153.4950213,residential_003,Reduced load during maintenance for residential during night hours,19.34,25.71,18.59,4.21,residential,maintenance_mode,3,mild
residential_003_pattern_0015,1773116372.1009016,residential_003,Reduced load during maintenance for residential during morning hours,17.22,19.12,16.98,5.68,residential,maintenance_mode,3,mild
residential_003_pattern_0016,1773141995.1250982,residential_003,Normal operational pattern for residential during afternoon period,54.32,67.14,43.52,9.62,residential,normal_operation,3,mild
residential_003_pattern_0017,1773185568.4955506,residential_003,Normal operational pattern for residential during night hours,61.95,68.9,58.8,5.13,residential,normal_operation,3,clear
residential_003_pattern_0018,1773211144.3750117,residential_003,Normal operational pattern for residential during afternoon period,64.03,90.33,58.49,6.96,residential,normal_operation,3,clear
residential_003_pattern_0019,1773238664.7752879,residential_003,Normal operational pattern for residential during evening peak,62.91,76.05,58.65,8.94,residential,normal_operation,3,cloudy
